# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5
ulcerative colitis,take rest,avoid oily food,take vitamin supplements,eat healthy diet,use antiseptic cream
scabies,wear mask,use inhaler if prescribed,follow doctor's advice,,
seasonal allergy,use inhaler if prescribed,use sunscreen,take vitamin supplements,,
bacterial infection,avoid stress,wash hands frequently,take prescribed medicines,use moisturizer,take paracetamol if needed
malaria,avoid oily food,maintain hygiene,avoid contact with infected people,avoid junk food,use inhaler if prescribed
gout,use moisturizer,wash hands frequently,use inhaler if prescribed,take vitamin supplements,
eczema,monitor symptoms,consult a doctor,take vitamin supplements,wash hands frequently,
irritable bowel syndrome,stay hydrated,use antiseptic cream,apply cold compress,exercise regularly,
gastric ulcer,wear mask,avoid cold drinks,eat healthy diet,,
cervical cancer,take rest,stay hydrated,exercise regularly,eat healthy diet,avoid direct sunlight
anemia,cover mouth while coughing,take paracetamol if needed,follow doctor's advice,,
stomach cancer,follow doctor's advice,monitor symptoms,avoid stress,use moisturizer,
asthma,avoid oily food,sleep well,exercise regularly,,
seasonal allergy,use moisturizer,cover mouth while coughing,use inhaler if prescribed,consult a doctor,
chronic cough,stay hydrated,take prescribed medicines,exercise regularly,avoid stress,use moisturizer
epilepsy,consult a doctor,exercise regularly,sleep well,avoid oily food,drink warm fluids
ulcerative colitis,consult a doctor,take prescribed medicines,avoid oily food,avoid cold drinks,
gallstones,wash hands frequently,drink warm fluids,avoid stress,,
sore throat,wear mask,monitor symptoms,sleep well,take paracetamol if needed,avoid oily food
lupus,wash hands frequently,maintain hygiene,stay hydrated,,
yeast infection,eat healthy diet,avoid junk food,wash hands frequently,avoid oily food,avoid cold drinks
seasonal allergy,eat healthy diet,sleep well,take prescribed medicines,use moisturizer,use sunscreen
eczema,eat healthy diet,sleep well,avoid junk food,monitor symptoms,
colon cancer,consult a doctor,use moisturizer,avoid junk food,use sunscreen,apply cold compress
hepatitis c,drink warm fluids,eat healthy diet,avoid contact with infected people,,
migraine attack,monitor symptoms,take paracetamol if needed,drink warm fluids,,
tonsillitis,maintain hygiene,use moisturizer,use sunscreen,wash hands frequently,
bacterial infection,take prescribed medicines,maintain hygiene,wash hands frequently,,
sore throat,avoid direct sunlight,stay hydrated,eat healthy diet,wash hands frequently,
skin cancer,cover mouth while coughing,follow doctor's advice,sleep well,consult a doctor,
diabetes,use inhaler if prescribed,avoid junk food,eat healthy diet,avoid cold drinks,sleep well
appendicitis,take rest,avoid direct sunlight,exercise regularly,use antiseptic cream,
ulcerative colitis,eat healthy diet,avoid stress,take prescribed medicines,apply cold compress,
gallstones,apply cold compress,follow doctor's advice,eat healthy diet,take vitamin supplements,
leukemia,follow doctor's advice,use inhaler if prescribed,use sunscreen,,
psoriasis,take paracetamol if needed,avoid cold drinks,consult a doctor,,
heat stroke,follow doctor's advice,apply cold compress,wash hands frequently,avoid direct sunlight,
obesity,wear mask,eat healthy diet,take paracetamol if needed,use inhaler if prescribed,avoid cold drinks
hepatitis a,wash hands frequently,take prescribed medicines,avoid stress,monitor symptoms,
eye infection,maintain hygiene,consult a doctor,apply cold compress,,
fungal infection,exercise regularly,eat healthy diet,avoid cold drinks,maintain hygiene,sleep well
gout,avoid cold drinks,use antiseptic cream,avoid junk food,,
allergy,eat healthy diet,monitor symptoms,maintain hygiene,,
sore throat,consult a doctor,monitor symptoms,take paracetamol if needed,avoid direct sunlight,
eczema flare-up,take prescribed medicines,take paracetamol if needed,avoid oily food,apply cold compress,wear mask
sunburn,monitor symptoms,cover mouth while coughing,wear mask,take prescribed medicines,avoid direct sunlight
tuberculosis,wear mask,consult a doctor,exercise regularly,,
fungal infection,cover mouth while coughing,use inhaler if prescribed,exercise regularly,,
arthritis,monitor symptoms,use inhaler if prescribed,use sunscreen,avoid stress,
chronic cough,use sunscreen,avoid junk food,apply cold compress,take rest,avoid cold drinks
piles,eat healthy diet,monitor symptoms,take vitamin supplements,,
encephalitis,use sunscreen,avoid junk food,avoid contact with infected people,take prescribed medicines,apply cold compress
frostbite,eat healthy diet,drink warm fluids,use sunscreen,,
dental cavity,take rest,wash hands frequently,avoid stress,,
hepatitis,maintain hygiene,use moisturizer,avoid oily food,avoid stress,
colon cancer,avoid cold drinks,cover mouth while coughing,avoid direct sunlight,take rest,
scabies,avoid contact with infected people,follow doctor's advice,maintain hygiene,use sunscreen,stay hydrated
tuberculosis,use sunscreen,sleep well,avoid junk food,wear mask,use antiseptic cream
bacterial infection,wear mask,avoid contact with infected people,use antiseptic cream,exercise regularly,eat healthy diet
skin cancer,drink warm fluids,sleep well,take vitamin supplements,follow doctor's advice,
chronic fatigue,take prescribed medicines,follow doctor's advice,use inhaler if prescribed,avoid junk food,
flu,use sunscreen,eat healthy diet,avoid cold drinks,,
kidney stone,wash hands frequently,use antiseptic cream,avoid oily food,avoid stress,
